# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
2.120777011999999928e+01,6.679679080000000546e-01,6.679679080000000546e-01,6.679679080000000546e-01,6.679679080000000546e-01,6.679679080000000546e-01,6.679679080000000546e-01
6.184604206000000204e+01,6.679491789999999485e-01,6.679491789999999485e-01,6.679491789999999485e-01,6.679491789999999485e-01,6.679491789999999485e-01,6.679491789999999485e-01
1.024836087000000049e+02,6.679492379999999452e-01,6.679492379999999452e-01,6.679492379999999452e-01,6.679492379999999452e-01,6.679492379999999452e-01,6.679492379999999452e-01
1.431264648000000079e+02,6.678083940000000274e-01,6.678083940000000274e-01,6.678083940000000274e-01,6.678083940000000274e-01,6.678083940000000274e-01,6.678083940000000274e-01
1.837636789000000022e+02,6.678178460000000483e-01,6.678178460000000483e-01,6.678178460000000483e-01,6.678178460000000483e-01,6.678178460000000483e-01,6.678178460000000483e-01
2.243986008999999910e+02,6.678883559999999608e-01,6.678883559999999608e-01,6.678883559999999608e-01,6.678883559999999608e-01,6.678883559999999608e-01,6.678883559999999608e-01
2.650363439000000199e+02,6.678837180000000151e-01,6.678837180000000151e-01,6.678837180000000151e-01,6.678837180000000151e-01,6.678837180000000151e-01,6.678837180000000151e-01
3.056707369000000085e+02,6.679683189999999771e-01,6.679683189999999771e-01,6.679683189999999771e-01,6.679683189999999771e-01,6.679683189999999771e-01,6.679683189999999771e-01
3.463046011000000135e+02,6.680670100000000167e-01,6.680670100000000167e-01,6.680670100000000167e-01,6.680670100000000167e-01,6.680670100000000167e-01,6.680670100000000167e-01
3.869358204999999771e+02,6.682361530000000549e-01,6.682361530000000549e-01,6.682361530000001659e-01,6.682361530000002769e-01,6.682361530000004990e-01,6.682361530000009431e-01
4.275702135999999882e+02,6.683207530000000451e-01,6.683207530000077057e-01,6.683207530000154772e-01,6.683207530000307983e-01,6.683207530000613295e-01,6.683207530001226138e-01
4.681957909999999856e+02,6.686401929999999938e-01,6.686401930004807204e-01,6.686401930009613359e-01,6.686401930019229001e-01,6.686401930038458064e-01,6.686401930076917299e-01
5.088062054999999759e+02,6.693635540000000272e-01,6.693635540154199148e-01,6.693635540308400245e-01,6.693635540616800217e-01,6.693635541233601272e-01,6.693635542467203381e-01
5.494357260000000451e+02,6.695779570000000014e-01,6.695779573112420335e-01,6.695779576224841767e-01,6.695779582449683520e-01,6.695779594899367027e-01,6.695779619798730709e-01
5.900264174999999796e+02,6.708267169999999613e-01,6.708267209398682818e-01,6.708267248797356030e-01,6.708267327594674700e-01,6.708267485189191026e-01,6.708267800377738510e-01
6.306455595999999559e+02,6.713175879999999651e-01,6.713176263596940530e-01,6.713176647192929947e-01,6.713177414382053287e-01,6.713178948748875774e-01,6.713182017436823967e-01
6.712573846000000231e+02,6.720033760000000411e-01,6.720036735158253505e-01,6.720039710252806442e-01,6.720045660250837383e-01,6.720057559482696119e-01,6.720081354890437009e-01
7.118611634000000095e+02,6.729035070000000118e-01,6.729061022870789222e-01,6.729086967413423492e-01,6.729138831542899046e-01,6.729242460178873619e-01,6.729449320552277625e-01
7.524650382999999465e+02,6.738010770000000260e-01,6.738506248248214980e-01,6.738996856157285498e-01,6.739963880477087832e-01,6.741843909240600174e-01,6.745407408624990442e-01
7.930685286000000360e+02,6.747088930000000317e-01,6.759837104633791283e-01,6.769930133343384782e-01,6.786785324543336273e-01,6.808173022498529292e-01,6.827738480333601645e-01
8.346345423999999866e+02,6.753729779999999572e-01,6.866546277061873482e-01,6.903936764244171798e-01,6.942710837682327663e-01,6.986663231483394298e-01,7.034803114632870447e-01
9.429579063999999562e+02,6.786478099999999625e-01,7.324117803310326025e-01,7.394392614355966842e-01,7.469620022879058796e-01,7.550497590911809942e-01,7.638715362465599013e-01
9.960662969999999632e+02,6.797723089999999635e-01,7.707799405450276309e-01,7.801743474000264467e-01,7.902155632628509174e-01,8.010458502601196518e-01,8.129704051029579270e-01
1.036655729999999949e+03,6.810545860000000173e-01,8.111058140123855731e-01,8.227628516499810862e-01,8.352172549083576314e-01,8.486539564513645439e-01,8.634539544725654547e-01
1.077247456000000057e+03,6.822758060000000402e-01,8.587689713170181260e-01,8.724698157256965958e-01,8.867767922740616982e-01,9.019665277497098677e-01,9.188995508745066987e-01
1.117832707000000028e+03,6.836694779999999971e-01,9.101164759472235577e-01,9.245813221149902228e-01,9.399410057150213715e-01,9.559485917509488173e-01,9.722998458991390924e-01
1.158409748999999920e+03,6.852818579999999660e-01,9.600209008345148565e-01,9.719955332351096766e-01,9.826615991441423059e-01,9.920683849470280924e-01,9.994005771643871272e-01
1.198989661000000069e+03,6.868177619999999983e-01,9.906683824707382957e-01,9.956844523811850811e-01,9.982564039330276140e-01,1.000304215297225685e+00,1.000959261764535979e+00
1.239563049999999976e+03,6.885274460000000429e-01,9.996601197021242058e-01,1.000756770410829777e+00,1.002497484062244704e+00,1.005420032728676194e+00,1.009832864699266697e+00
1.280136439000000109e+03,6.902371299999999765e-01,1.007249911672817078e+00,1.012347369326451973e+00,1.018518533565420991e+00,1.026450228273561915e+00,1.035035377381343213e+00
1.320698720000000094e+03,6.922427110000000106e-01,1.029614284605252728e+00,1.038427405416457949e+00,1.047521555918215164e+00,1.056782256354743765e+00,1.065842800674601465e+00
1.361254478000000063e+03,6.944220719999999458e-01,1.060202531764461886e+00,1.069387064338613191e+00,1.078613996075644454e+00,1.087753842615049038e+00,1.097043213233118930e+00
1.401807767000000013e+03,6.966671880000000483e-01,1.090820529810549555e+00,1.100052368732651331e+00,1.109376769990354283e+00,1.118659834383662899e+00,1.127830933769610411e+00
1.442356649000000061e+03,6.990297239999999634e-01,1.121311309047350768e+00,1.130484210399615330e+00,1.139769088959990295e+00,1.149093115160256806e+00,1.158293607135687742e+00
1.482885606999999936e+03,7.019229949999999940e-01,1.151508704144360351e+00,1.160793785999971295e+00,1.170005704949704572e+00,1.179172204597575879e+00,1.188415083641422454e+00
1.523403456999999889e+03,7.051121630000000140e-01,1.181434392876845152e+00,1.190737670222437705e+00,1.199962375106875090e+00,1.209133636860358019e+00,1.218324464356236758e+00
1.563915842000000112e+03,7.084469300000000302e-01,1.211135108220011913e+00,1.220462448424294299e+00,1.229767239948281299e+00,1.238990366278994948e+00,1.248139050854099041e+00
1.604412358999999924e+03,7.122044069999999838e-01,1.240911902725964966e+00,1.250077125350431029e+00,1.259329792404890513e+00,1.268667648825938077e+00,1.277882927049007078e+00
1.644897414999999910e+03,7.162671750000000337e-01,1.270467929263116913e+00,1.279798013818459923e+00,1.289107244930172147e+00,1.298325807790395636e+00,1.307469159318493279e+00
1.678212250000000040e+03,7.192731709999999890e-01,1.298178597205330798e+00,1.307361232257254313e+00,1.316523376965806236e+00,1.325794634199627842e+00,1.335089378563737439e+00
