# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.000000000000000000e+00,7.258445961877851849e-01,7.258445961877851849e-01,7.258445961877851849e-01,7.258445961877851849e-01,7.258445961877851849e-01,7.258445961877851849e-01
4.405128205128205110e+01,7.273090447523621327e-01,7.273090447523621327e-01,7.273090447523621327e-01,7.273090447523621327e-01,7.273090447523621327e-01,7.273090447523621327e-01
8.710256410256410220e+01,7.288248625686091220e-01,7.288248625686091220e-01,7.288248625686091220e-01,7.288248625686091220e-01,7.288248625686091220e-01,7.288248625686091220e-01
1.301538461538461604e+02,7.303948284696707427e-01,7.303948284696707427e-01,7.303948284696707427e-01,7.303948284696707427e-01,7.303948284696707427e-01,7.303948284696707427e-01
1.732051282051282044e+02,7.320219273394548143e-01,7.320219273394548143e-01,7.320219273394548143e-01,7.320219273394548143e-01,7.320219273394548143e-01,7.320219273394548143e-01
2.162564102564102484e+02,7.337093697448748841e-01,7.337093697448748841e-01,7.337093697448748841e-01,7.337093697448748841e-01,7.337093697448748841e-01,7.337093697448748841e-01
2.593076923076923208e+02,7.354606138752455280e-01,7.354606138752455280e-01,7.354606138752455280e-01,7.354606138752455280e-01,7.354606138752455280e-01,7.354606138752455280e-01
3.023589743589743648e+02,7.372793901139359507e-01,7.372793901139359507e-01,7.372793901139359507e-01,7.372793901139359507e-01,7.372793901139359507e-01,7.372793901139359507e-01
3.454102564102564088e+02,7.391697286211886819e-01,7.391697286211886819e-01,7.391697286211886819e-01,7.391697286211886819e-01,7.391697286211886819e-01,7.391697286211886819e-01
3.884615384615384528e+02,7.411359903711103314e-01,7.411359903711103314e-01,7.411359903711103314e-01,7.411359903711104424e-01,7.411359903711106645e-01,7.411359903711111086e-01
4.315128205128204968e+02,7.431829021624907217e-01,7.431829021624981602e-01,7.431829021625055987e-01,7.431829021625205867e-01,7.431829021625504517e-01,7.431829021626101817e-01
4.745641025641025408e+02,7.453155962150950220e-01,7.453155962155393333e-01,7.453155962159837555e-01,7.453155962168727111e-01,7.453155962186506223e-01,7.453155962222063335e-01
5.176153846153846416e+02,7.475396550739367152e-01,7.475396550871431511e-01,7.475396551003496981e-01,7.475396551267627920e-01,7.475396551795890909e-01,7.475396552852414667e-01
5.606666666666666288e+02,7.498611626781894746e-01,7.498611629081651797e-01,7.498611631381407738e-01,7.498611635980920731e-01,7.498611645179946716e-01,7.498611663577996467e-01
6.037179487179487296e+02,7.522867626144348341e-01,7.522867652489962920e-01,7.522867678835574168e-01,7.522867731526793333e-01,7.522867836909217232e-01,7.522868047674006187e-01
6.467692307692307168e+02,7.548237247730122945e-01,7.548237464478362302e-01,7.548237681226517282e-01,7.548238114722573000e-01,7.548238981713673024e-01,7.548240715691830749e-01
6.898205128205128176e+02,7.574800218704466070e-01,7.574801597719764690e-01,7.574802976731472848e-01,7.574805734744114449e-01,7.574811250726297684e-01,7.574822282518277605e-01
7.328717948717949184e+02,7.602644176020439959e-01,7.602651485555828037e-01,7.602658794972945167e-01,7.602673413452395446e-01,7.602702648992315515e-01,7.602761114397496023e-01
7.759230769230769056e+02,7.631865685619810824e-01,7.631900789192294088e-01,7.631935889151193475e-01,7.632006078232630442e-01,7.632146413080718172e-01,7.632426909762647371e-01
8.189743589743590064e+02,7.662571425334342434e-01,7.662736557371151447e-01,7.662901579954596309e-01,7.663231297536998721e-01,7.663889427763338480e-01,7.665200511215385371e-01
8.620256410256409936e+02,7.694879563345862206e-01,7.695663434457263863e-01,7.696444181663730788e-01,7.697996423734690952e-01,7.701064709514469087e-01,7.707062636856897297e-01
9.050769230769230944e+02,7.728921371422184938e-01,7.732554241226067271e-01,7.736111505170316649e-01,7.743013121164363799e-01,7.756046572857649979e-01,7.779562805096726930e-01
