# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.573000000000000000e+03,8.367416852833975405e-01,8.382823682846216595e-01,8.398038595661138084e-01,8.427920835940818645e-01,8.485646228070078401e-01,8.593772771970586977e-01
1.590948717948718013e+03,8.370711100627772350e-01,8.392259895250802071e-01,8.413411337733712747e-01,8.454607303750016900e-01,8.532971465804031208e-01,8.675466780688537716e-01
1.608897435897435798e+03,8.374016860398512119e-01,8.403997760463577382e-01,8.433168355599621746e-01,8.489323413502298799e-01,8.593852597874547250e-01,8.775304970631473411e-01
1.626846153846153811e+03,8.377334194668241141e-01,8.418818735574964407e-01,8.458682600643605554e-01,8.534208732514658724e-01,8.670480467335506258e-01,8.889209829057951318e-01
1.644794871794871824e+03,8.380663166425008637e-01,8.437722997556200699e-01,8.491613913546190995e-01,8.591492767466778480e-01,8.763436223818995563e-01,9.006314575149553248e-01
1.662743589743589837e+03,8.384003839127316393e-01,8.461952367460465751e-01,8.533948110597038283e-01,8.663570820248773785e-01,8.868613520957621121e-01,9.112773148994783856e-01
1.680692307692307622e+03,8.387356276708608505e-01,8.492983703334358037e-01,8.588489869184109393e-01,8.755315785995433364e-01,8.972134143796350880e-01,9.195817939500458005e-01
1.698641025641025635e+03,8.390720543581823287e-01,8.532467284418743247e-01,8.657115988433607967e-01,8.863822434358616942e-01,9.060638799436865343e-01,9.267742922221433588e-01
1.716589743589743648e+03,8.394096704643996265e-01,8.582076702082256370e-01,8.738693001659063597e-01,8.962212525631303439e-01,9.138987365231415749e-01,9.368153376510570673e-01
1.734538461538461434e+03,8.397484825280912002e-01,8.643269759785504602e-01,8.830363720891610813e-01,9.042669838782372294e-01,9.253559085903297898e-01,9.466191645798478493e-01
1.752487179487179446e+03,8.400884971371815890e-01,8.716746942071801341e-01,8.926733694338779834e-01,9.133915606654445796e-01,9.344946205058694000e-01,9.556987259044560368e-01
1.770435897435897459e+03,8.404297209294183668e-01,8.801555418354761740e-01,9.020838981983201332e-01,9.229743830577433750e-01,9.432431785806006941e-01,9.644257321673539440e-01
1.788384615384615472e+03,8.407721605928537567e-01,8.894336351945310026e-01,9.107698098730195868e-01,9.312240060391711038e-01,9.516541286309778691e-01,9.726746566494802737e-01
1.806333333333333258e+03,8.411158228663330183e-01,8.989389378200234315e-01,9.187948875445908214e-01,9.391013335923010796e-01,9.597913429972927402e-01,9.801112698759174569e-01
1.824282051282051270e+03,8.414607145399880528e-01,9.071977805262275707e-01,9.270361273222129661e-01,9.471701431967485263e-01,9.678269278265728692e-01,9.866412450139266932e-01
1.842230769230769283e+03,8.418068424557368923e-01,9.133521848797964138e-01,9.341939568606483224e-01,9.547312111343770891e-01,9.752907191504818218e-01,9.915246298576066986e-01
1.860179487179487296e+03,8.421542135077892954e-01,9.209677182063426004e-01,9.416450371495764804e-01,9.624545903639843969e-01,9.819639835148773477e-01,9.952644969253345852e-01
1.878128205128205082e+03,8.425028346431583381e-01,9.301292157015822459e-01,9.500587661333362854e-01,9.703553399680869829e-01,9.877496262292674301e-01,9.955132367465076015e-01
1.896076923076923094e+03,8.428527128621782216e-01,9.382273519479807922e-01,9.580567252743230622e-01,9.775615425184980278e-01,9.930912610674700325e-01,9.981155167380921789e-01
1.914025641025641107e+03,8.432038552190278535e-01,9.458599149350936930e-01,9.655357323172693018e-01,9.836272706516713260e-01,9.961156028980031607e-01,9.989340013845591226e-01
1.931974358974358893e+03,8.435562688222615346e-01,9.534213486177002261e-01,9.726308282535182093e-01,9.887065916528849918e-01,9.958433999433163875e-01,9.998549180091504951e-01
1.949923076923076906e+03,8.439099608353453075e-01,9.607420211067476679e-01,9.791828128098766237e-01,9.933028359419361353e-01,9.984878196119345573e-01,1.000342150074246206e+00
1.967871794871794918e+03,8.442649384771996335e-01,9.676792695869481653e-01,9.847169635338930416e-01,9.954122100867155432e-01,9.989165976280698356e-01,1.000736358773738344e+00
1.985820512820512704e+03,8.446212090227498415e-01,9.740907856688937327e-01,9.887639373267465004e-01,9.959620917199474288e-01,9.999155754168717047e-01,1.001201666326908768e+00
2.003769230769230717e+03,8.449787798034817943e-01,9.800956718824405112e-01,9.929176979276496118e-01,9.983672844554323245e-01,1.000278131417308369e+00,1.001748892365842192e+00
2.021717948717948730e+03,8.453376582080053270e-01,9.853329709722639107e-01,9.955276648931611350e-01,9.987527515607125261e-01,1.000630229357611034e+00,1.002378649533445687e+00
2.039666666666666742e+03,8.456978516826236802e-01,9.890350900303533921e-01,9.958263880270854518e-01,9.998004259253961967e-01,1.001047876236799583e+00,1.003109085320319505e+00
2.057615384615384755e+03,8.460593677319111494e-01,9.928893911788525539e-01,9.981817933034661250e-01,1.000152250734501758e+00,1.001541796260095873e+00,1.003950217561217162e+00
2.075564102564102541e+03,8.464222139192963956e-01,9.954363101445568018e-01,9.985613600353001607e-01,1.000489046007432492e+00,1.002135244601147779e+00,1.004920436259669980e+00
2.093512820512820326e+03,8.467863978676535286e-01,9.957959502427954357e-01,9.996382011941566947e-01,1.000898344573087684e+00,1.002832556594371205e+00,1.006020102174482123e+00
2.111461538461538566e+03,8.471519272599010719e-01,9.979809894411735272e-01,1.000098600111121838e+00,1.001373397442107960e+00,1.003628912175361432e+00,1.007241036343107243e+00
2.129410256410256352e+03,8.475188098396070346e-01,9.987770087639206151e-01,1.000397661487265166e+00,1.001921817029203465e+00,1.004531375808860316e+00,1.008582658036186075e+00
2.147358974358974592e+03,8.478870534116025315e-01,9.993278978603047369e-01,1.000759096200663167e+00,1.002551073011880511e+00,1.005546002124055649e+00,1.010039417111038507e+00
2.165307692307692378e+03,8.482566658426023976e-01,9.999475249064101456e-01,1.001177061965537796e+00,1.003271963739861494e+00,1.006681186109149362e+00,1.011595513453349193e+00
2.183256410256410163e+03,8.486276550618335746e-01,1.000268459192167558e+00,1.001664602897118117e+00,1.004103558265496909e+00,1.007953000110500597e+00,1.013202989330384218e+00
2.201205128205127949e+03,8.490000290616716017e-01,1.000584029754747473e+00,1.002231922224704919e+00,1.005048294505812345e+00,1.009300586646494580e+00,1.014999153073983695e+00
2.219153846153846189e+03,8.493737958982853220e-01,1.000959953272773317e+00,1.002889037355199298e+00,1.006103941150495507e+00,1.010730255348656348e+00,1.016913420330802342e+00
2.237102564102563974e+03,8.497489636922876954e-01,1.001399400243668136e+00,1.003646211331887583e+00,1.007268244256452228e+00,1.012270039833663038e+00,1.018908573305883580e+00
2.255051282051282215e+03,8.501255406293980466e-01,1.001910902452157082e+00,1.004510074623133242e+00,1.008534112209378053e+00,1.013977004760940215e+00,1.020971251439402927e+00
2.273000000000000000e+03,8.505035349611093087e-01,1.002503526046682802e+00,1.005484638927792718e+00,1.009892790292985953e+00,1.015810939865913864e+00,1.023065207594402004e+00
