# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.573000000000000000e+03,8.367416852833975405e-01,8.369703641166630348e-01,8.371974848611933862e-01,8.376471419967571608e-01,8.385287186414498439e-01,8.402253558969291491e-01
1.590948717948718013e+03,8.370711100627772350e-01,8.374375970694729610e-01,8.378000602486729287e-01,8.385132861276252125e-01,8.398953281934943282e-01,8.424987508317378637e-01
1.608897435897435798e+03,8.374016860398512119e-01,8.379834564591123192e-01,8.385550759851648772e-01,8.396693402226156344e-01,8.417909522457317495e-01,8.456669013780954147e-01
1.626846153846153811e+03,8.377334194668241141e-01,8.386474854586253302e-01,8.395365995406810500e-01,8.412456423128362726e-01,8.444181810660583709e-01,8.499777695539890709e-01
1.644794871794871824e+03,8.380663166425008637e-01,8.394864143013025526e-01,8.408469842710588615e-01,8.434103268801000919e-01,8.480034667259735981e-01,8.556333879524334884e-01
1.662743589743589837e+03,8.384003839127316393e-01,8.405792035537476004e-01,8.426211118668514022e-01,8.463659550477437010e-01,8.527639889277204288e-01,8.627074562757643950e-01
1.680692307692307622e+03,8.387356276708608505e-01,8.420314115697991042e-01,8.450265001237319273e-01,8.503369464189296512e-01,8.588446034405046170e-01,8.710545662064703709e-01
1.698641025641025635e+03,8.390720543581823287e-01,8.439766229111599349e-01,8.482617275542904123e-01,8.555906577513573419e-01,8.662213504455820168e-01,8.800737892998842238e-01
1.716589743589743648e+03,8.394096704643996265e-01,8.465715341848869535e-01,8.525533013683986860e-01,8.623828993480833205e-01,8.740969257667943193e-01,8.891666264592499314e-01
1.734538461538461434e+03,8.397484825280912002e-01,8.499811342799458158e-01,8.579666612656072777e-01,8.697817832020328099e-01,8.822591749063715127e-01,9.001773182327377221e-01
1.752487179487179446e+03,8.400884971371815890e-01,8.543524665645615412e-01,8.645222804674903561e-01,8.776325641145100720e-01,8.930709652470480986e-01,9.107235200490561011e-01
1.770435897435897459e+03,8.404297209294183668e-01,8.597804807348355949e-01,8.720486659712973765e-01,8.862220594684366848e-01,9.034174584941015995e-01,9.208896373013232273e-01
1.788384615384615472e+03,8.407721605928537567e-01,8.662713602381696409e-01,8.802938022734709822e-01,8.962132994358036342e-01,9.131834806487536538e-01,9.307378293792306634e-01
1.806333333333333258e+03,8.411158228663330183e-01,8.736750191922313391e-01,8.890174855604705551e-01,9.058230006325121986e-01,9.227041215313713796e-01,9.406138643296049207e-01
1.824282051282051270e+03,8.414607145399880528e-01,8.815980794038809076e-01,8.979495500721437207e-01,9.147138945984500946e-01,9.319835227966233315e-01,9.503822937382307989e-01
1.842230769230769283e+03,8.418068424557368923e-01,8.891163450941659274e-01,9.065306471796673593e-01,9.232382313216088709e-01,9.411349503864896437e-01,9.597389689312169070e-01
1.860179487179487296e+03,8.421542135077892954e-01,8.980473045010246569e-01,9.153484178783338754e-01,9.323486400422654752e-01,9.505525986654519421e-01,9.685018134745577711e-01
1.878128205128205082e+03,8.425028346431583381e-01,9.071058108947476217e-01,9.237745141455880882e-01,9.413692150076696796e-01,9.595099905340143120e-01,9.766458061841460925e-01
1.896076923076923094e+03,8.428527128621782216e-01,9.158561407087979500e-01,9.325815321263275504e-01,9.503194353857661314e-01,9.677502750748341320e-01,9.835950957819730167e-01
1.914025641025641107e+03,8.432038552190278535e-01,9.240863439218106601e-01,9.412354282860112553e-01,9.589663587206675999e-01,9.755539986421656318e-01,9.893763435334828049e-01
1.931974358974358893e+03,8.435562688222615346e-01,9.322524016804637492e-01,9.496055651694862432e-01,9.668589961644212805e-01,9.822335550530151282e-01,9.939771692332591835e-01
1.949923076923076906e+03,8.439099608353453075e-01,9.405125810218772919e-01,9.577822833198040842e-01,9.740397105431657376e-01,9.877013661383401422e-01,9.965992131886906025e-01
1.967871794871794918e+03,8.442649384771996335e-01,9.485635748063859785e-01,9.655315652552396433e-01,9.805715182268122110e-01,9.927194076141780954e-01,9.974418911306646152e-01
1.985820512820512704e+03,8.446212090227498415e-01,9.561970348465179681e-01,9.724945822625452596e-01,9.860958938314070554e-01,9.963024633574483202e-01,9.993696844283759262e-01
2.003769230769230717e+03,8.449787798034817943e-01,9.634597977620267262e-01,9.785794192684914572e-01,9.903922134317207915e-01,9.963694010927628408e-01,9.999619839023833334e-01
2.021717948717948730e+03,8.453376582080053270e-01,9.705138297810699255e-01,9.842067248874691865e-01,9.944675193283534220e-01,9.988842577110730314e-01,1.000724061377168628e+00
2.039666666666666742e+03,8.456978516826236802e-01,9.766518175243729116e-01,9.887081421823915584e-01,9.964619219135169015e-01,9.993084609934238527e-01,1.001046965550525858e+00
2.057615384615384755e+03,8.460593677319111494e-01,9.819506266809466810e-01,9.921441541209174986e-01,9.971398555942656561e-01,1.000615408846714516e+00,1.001272295871485696e+00
2.075564102564102541e+03,8.464222139192963956e-01,9.867724638715329455e-01,9.955155676069138426e-01,9.991719555244928941e-01,1.000854310673677139e+00,1.001550418995392988e+00
2.093512820512820326e+03,8.467863978676535286e-01,9.905196439505686845e-01,9.968803809849547948e-01,9.995225741905784389e-01,1.001001520089030539e+00,1.001911356157847210e+00
2.111461538461538566e+03,8.471519272599010719e-01,9.931752174496221164e-01,9.976486845440194484e-01,1.000464799304635610e+00,1.001194173639732288e+00,1.002371624282968110e+00
2.129410256410256352e+03,8.475188098396070346e-01,9.959224420546962664e-01,9.993144559420138462e-01,1.000607350102461490e+00,1.001419362316148032e+00,1.002929027690533603e+00
2.147358974358974592e+03,8.478870534116025315e-01,9.976125082913951392e-01,9.996602319166771888e-01,1.000464629155606522e+00,1.001548267491672028e+00,1.003482579700511801e+00
2.165307692307692378e+03,8.482566658426023976e-01,9.978700970411399362e-01,1.000120706788850455e+00,1.000827994978007007e+00,1.002194029458528313e+00,1.004566748253546749e+00
2.183256410256410163e+03,8.486276550618335746e-01,9.992454709993630058e-01,1.000309585512006993e+00,1.001244001283811302e+00,1.002948468874213406e+00,1.005816752790736679e+00
2.201205128205127949e+03,8.490000290616716017e-01,9.997361524915405750e-01,1.000525705965355394e+00,1.001716829559106792e+00,1.003821145684476113e+00,1.007236291048405841e+00
2.219153846153846189e+03,8.493737958982853220e-01,1.000062332645991647e+00,1.000846235260290262e+00,1.002333609690967187e+00,1.004889018455808358e+00,1.008873796988246418e+00
2.237102564102563974e+03,8.497489636922876954e-01,1.000260025792141017e+00,1.001272519578551456e+00,1.003105632967222993e+00,1.006157415430114055e+00,1.010707353958633314e+00
2.255051282051282215e+03,8.501255406293980466e-01,1.000531780857816244e+00,1.001801745990253956e+00,1.004036113860469426e+00,1.007624586544310530e+00,1.012678488053094794e+00
2.273000000000000000e+03,8.505035349611093087e-01,1.000883081133226105e+00,1.002447106366566532e+00,1.005143436977319782e+00,1.009278673027002915e+00,1.014758356486044955e+00
