# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
9.500000000000000000e+02,6.400122624546364936e-01,6.400122649044612810e-01,6.400122673533078510e-01,6.400122722480700022e-01,6.400122820258977718e-01,6.400123015349838962e-01
9.610000000000000000e+02,6.400162060727978552e-01,6.400162092380378143e-01,6.400162124020420951e-01,6.400162187263482849e-01,6.400162313601853725e-01,6.400162565690252769e-01
9.720000000000000000e+02,6.400200363505529344e-01,6.400200406687130972e-01,6.400200449850135254e-01,6.400200536120419503e-01,6.400200708438658070e-01,6.400201052190257478e-01
9.830000000000000000e+02,6.400239990111978861e-01,6.400240050201948527e-01,6.400240110261848914e-01,6.400240230291595056e-01,6.400240469991910208e-01,6.400240947964159766e-01
9.930000000000000000e+02,6.400279682088190203e-01,6.400279763317185955e-01,6.400279844499038306e-01,6.400280006721589254e-01,6.400280330603983492e-01,6.400280976133030375e-01
1.004000000000000000e+03,6.400318264011732872e-01,6.400318380448192235e-01,6.400318496799548562e-01,6.400318729247573835e-01,6.400319193129192508e-01,6.400320116868903897e-01
1.015000000000000000e+03,6.400358175121283466e-01,6.400358342076836182e-01,6.400358508876959895e-01,6.400358842012368044e-01,6.400359506433852541e-01,6.400360827958633259e-01
1.026000000000000000e+03,6.400398183746854874e-01,6.400398423573461226e-01,6.400398663111692699e-01,6.400399141326488239e-01,6.400400094333378309e-01,6.400401986844722613e-01
1.037000000000000000e+03,6.400437052222790468e-01,6.400437397632341430e-01,6.400437742497216975e-01,6.400438430601499418e-01,6.400439800367324628e-01,6.400442514590265475e-01
1.048000000000000000e+03,6.400477255447308833e-01,6.400477750602112659e-01,6.400478244732651367e-01,6.400479229942019899e-01,6.400481188299029789e-01,6.400485057892614238e-01
1.058000000000000000e+03,6.400517499285899303e-01,6.400518179938278207e-01,6.400518858807210387e-01,6.400520211241153001e-01,6.400522895211550045e-01,6.400528182013374145e-01
1.069000000000000000e+03,6.400556653032561938e-01,6.400557625934056860e-01,6.400558595452482402e-01,6.400560524456737621e-01,6.400564343128666289e-01,6.400571829168908433e-01
1.080000000000000000e+03,6.400597146977586860e-01,6.400598528844319013e-01,6.400599904359592918e-01,6.400602636624330710e-01,6.400608028037196862e-01,6.400618532994600818e-01
1.091000000000000000e+03,6.400637740582150181e-01,6.400639694780244637e-01,6.400641637111336157e-01,6.400645486882149404e-01,6.400653051588838238e-01,6.400667676466331724e-01
1.102000000000000000e+03,6.400677187224840248e-01,6.400679942863444216e-01,6.400682676346779454e-01,6.400688078592999819e-01,6.400698635654938906e-01,6.400718842281499787e-01
1.113000000000000000e+03,6.400717979725089046e-01,6.400721838762756244e-01,6.400725656979239231e-01,6.400733175152436560e-01,6.400747765482198703e-01,6.400775350436670452e-01
1.123000000000000000e+03,6.400758787361954250e-01,6.400763980501557038e-01,6.400769104001250431e-01,6.400779151107484077e-01,6.400798502464886131e-01,6.400834617051530673e-01
